Title,URL
"Chief Electoral Officer (CEO), Manipur",https://ceomanipur.nic.in
"Jawahar Navodaya Vidyalaya (JNV), Boudh, Odisha",https://www.navodaya.gov.in/nvs/nvs-school/Boudh/en/home
Panipat Municipal Corporation,https://nagarnigampanipat.in
Dewas Municipal Corporation,https://www.dmcdewas.com
"Jawahar Navodaya Vidyalaya Dodballapur,Bangalore rural",https://navodaya.gov.in/nvs/nvs-school/BANGALORERURAL/en/home
"Kendriya Vidayalaya Shahdol, Madhya Pradesh",https://epathshala.nic.in
"Kendriya Vidyalaya Sangathan, Regional Office, Dehradun",https://rodehradun.kvs.gov.in
Municipal Corporation Delhi (MCD),https://mcdonline.nic.in
Bhiwandi Municipal Corporation,https://bncmc.gov.in
Vasai-Virar Municipal Corporation,https://vvcmc.in
"Erode City Municipal Corporation, Tamil Nadu",https://www.tnurbantree.tn.gov.in/erode
"Tiruppur City Municipal Corporation, Tamil Nadu",https://www.tnurbantree.tn.gov.in/tiruppur
"Aligarh Nagar Nigam, Uttar Pradesh",https://nnaligarh.in
"Urban Development & Housing Department, Government of Jharkhand",https://udhd.jharkhand.gov.in
Maharashtra State Veterinary Council,https://msvc.maharashtra.gov.in
"Nagpur Municipal Corporation, Maharashtra",https://www.nmcnagpur.gov.in
"Nagar Nigam Moradabad, Uttar Pradesh",https://nagarnigammoradabad.in
"Kendriya Vidyalaya No. 2, Bhopal, Madhya Pradesh",https://no2bhopal.kvs.ac.in
"Kendriya Vidyalaya Jhabua, Madhya Pradesh",https://roernakulam.kvs.gov.in
"Kendriya Vidyalaya OLF, Raipur, Dehradun",https://dehradunolf.kvs.ac.in
"Kendriya Vidyalaya Sarni, Madhya Pradesh",https://wclsarni.kvs.ac.in
Indian Institute of Petroleum (IIP),https://www.iip.res.in/en
Tripura Industrial Development Corporation Limited (TIDC),https://tidc.tripura.gov.in
Veterinary Council of India (VCI),https://vcicounseling.nic.in
Bagalkote District,https://bagalkot.nic.in/en
"Deposit Insurance and Credit Guarantee Corporation, Mumbai",https://www.dicgc.org.in
"Anti Corruption Bureau (ACB), Mizoram",https://acb.mizoram.gov.in
College of Agricultural Banking (CAB),https://cab.rbi.org.in
Indian Navy,https://indiannavy.nic.in
Joint Entrance Examination (JEE Advanced) 2017,https://jeeadv.ac.in
Bihar Combined Entrance Competitive Examination Board (BCECEB),https://bceceboard.bihar.gov.in
Chikballapur District,https://chikkaballapur.nic.in/en
"SWAYAM - Online Learning Courses, AICTE, MHRD, Govt. of India",https://swayam.gov.in
ALL INDIA PRE-MEDICAL SCHOLARSHIP TEST (SECONDARY) - 2021,https://www.aipmstsecondary.co.in
"Council Of Higher Secondary Education, Manipur",https://cohsem.nic.in
"Central Institute of Higher Tibetan Studies, Sarnath, Uttar Pradesh",https://www.cihts.ac.in
"Directorate of Fire and Emergency Services, Goa",https://www.dfes.goa.gov.in
Bird Group of Companies,https://www.birdgroup.co.in
"Income Tax Department, Rajasthan",https://incometaxrajasthan.gov.in
"Amravati Rural Police, Maharashtra",https://amravatiruralpolice.gov.in
"Janmabhoomi, Andhra Pradesh",https://jnanabhumi.ap.gov.in
"Electricity (Power) Department, Puducherry",https://pedservices.py.gov.in
Government Medical College Kozhikode,https://www.govtmedicalcollegekozhikode.ac.in
"Chungthang Sub Division, North Sikkim",https://northsikkim.nic.in
"Jawahar Navodaya Vidyalaya (JNV), Yanam, Puducherry",https://www.navodaya.gov.in/nvs/nvs-school/Yanam/en/about_us/About-JNV
"E-Procurement, Andhra Pradesh",https://tender.apeprocurement.gov.in
"Direct Benefit Transfer (DBT), Agriculture Department, Bihar",https://dbtagriculture.bihar.gov.in
MOLAKALMURU Town Panchayath,https://chitradurga.nic.in/en/public-utility/molakalmuru-town-panchayath
"Amravati Zilla Parishad, Maharashtra",https://www.zpamravati-gov.in
eGazette of Chandigarh UT Administration,https://egazette.chd.gov.in
"Indian Institute of Space Science and Technology (IIST), Thiruvananthapuram",https://www.iist.ac.in
"Kendriya Vidyalaya, Ajni, Nagpur",https://ajni.kvs.ac.in
"Mangalore City Corporation, Karnataka",https://bagalkot.nic.in/en/municipalities
"National Centre for Sustainable Coastal Management (NCSCM), Chennai, Tamilnadu",https://www.ncscm.res.in
Register as COVID-19 Volunteer (Individuals and Organisations),https://self4society.mygov.in
West Bengal Electronics Industry Development Corporation Limited (WEBEL),https://www.webel.in
"Directorate of Technical Education, Goa",https://dte.goa.gov.in
"Jawahar Navodaya Vidyalaya (JNV), Mahe, Puducherry",https://www.navodaya.gov.in/nvs/nvs-school/Mahe/en/home
"Kendriya Vidyalaya No.3 Air Force Station, Kanpur, Uttar Pradesh",https://no3chakeri.kvs.ac.in
"Kendriya Vidyalaya MEG, Bangalore",https://megcentre.kvs.ac.in
"Government Maulana Azad Memorial (M.A.M) College, Jammu",https://www.mamcollegejammu.in
National River Conservation Directorate (NRCD),https://nrcd.nic.in
"ENVIS Centre at Central Building Research Institute (CBRI), Roorkee",https://cbri.res.in
"Bharathidasan Government College for Women, Puducherry",https://bgcw.py.gov.in
"Controller Of Defence Accounts (CDA), Patna, Bihar",https://cdapatna.bihar.gov.in
"Police Department, Palwal District, Haryana",https://palwal.haryanapolice.gov.in
"e-Pramaan - Framework for e-Authentication by CDAC, MeitY",https://epramaan.gov.in
Resident Portal for Online Aadhaar Services by UIDAI,https://resident.uidai.gov.in
e-Vigilance portal for the Employees of Chandigarh Administration,https://evigilance.chd.gov.in
Andhra Pradesh Centre for Financial Systems and Services,https://apcfss.in
National Portal of Map Services powered by Bharatmaps GIS Platform,https://mapservice.gov.in
Kendriya Vidyalaya Bolaram,https://bolarum.kvs.ac.in
"S3WaaS - Secure, Scalable and Sugamya Website as a Service for District Websites",https://s3waas.gov.in
"eGreetings Portal by NIC, MeitY, Govt. of India",https://egreetings.gov.in
OpenForge - A platform for open collaborative software development of e-governance applications,https://openforge.gov.in
University of Calicut,https://www.uoc.ac.in
Agartala Government Medical College,https://www.agmc.nic.in
"Online Recruitment , National Informatics Centre (NIC)",https://recruitment.nic.in
Assam State Designated Agency (ASDA),https://asdagov.in
Assam State Biodiversity Board (ASBB),https://asbb.assam.gov.in
Assam State Disaster Management Authority (ASDMA),https://asdma.assam.gov.in
"OLTAS - Challan Status Inquiry, Income Tax Department",https://tin.tin.nsdl.com/oltas
Central Government Employees Welfare Housing Organisation (CGEWHO),https://www.cgewho.in
"Non-Tax Receipt Portal (NTRP), Controller General of Accounts",https://bharatkosh.gov.in
Goods and Services Tax (GST),https://www.gst.gov.in
"Kendriya Vidyalaya Burdwan, West Bengal",https://burdwan.kvs.ac.in
"Bharathiar Palkalaikoodam, Puducherry",https://bpk.py.gov.in
INDIAai - the central hub for everything Artificial Intelligence (AI) in India and beyond,https://indiaai.gov.in
"Goods and Services Tax (GST), Central Board of Excise and Customs (CBEC)",https://cbec-gst.gov.in
Atomic Minerals Directorate (AMD),https://www.amd.gov.in
e-Way Bill System - One Nation One e-Way Bill for movement of Goods throughout the Country,https://ewaybillgst.gov.in
Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI),https://bhavini.nic.in
"Principal Controller of Defence Accounts (Southern Command), Pune",https://www.navodaya.gov.in/nvs/nvs-school/Beed/hi/about_us/About-JNV
"eDistrict, Uttar Pradesh",https://edistrict.up.gov.in/edistrictup
"Man Power and Management System, National Informatics Centre, New Delhi",https://nicsi.com
"Cantonment Board, Fatehgarh, Uttar Pradesh",https://fatehgarh.cantt.gov.in
Atomic Energy Regulatory Board (AERB),https://www.aerb.gov.in/english
"Jawahar Navodaya Vidyalaya (JNV), Paikmal, Bargarh, Odisha",https://navodaya.gov.in/nvs/nvs-school/Bargarh/en/about_us/About-JNV
eProcurement Portal of Indian Oil Corporation Limited (IOCL),https://iocletenders.nic.in
Export Credit Guarantee Corporation of India Limited (ECGC),https://www.ecgcltd.in
"Sebi COmplaints and REdress System (SCORES), Securities and Exchange Board of India (SEBI)",https://scores.gov.in
Central Bank of India,https://www.centralbankofindia.co.in
Jharkhand Bijli Vitran Nigam Limited,https://jbvnl.co.in
Kannada Abhivrudhi Praadhikaara,https://kannadapraadhikaara.karnataka.gov.in
TRACES - TDS (Tax Deducted at Source) Reconciliation Analysis and Correction Enabling System,https://www.tdscpc.gov.in
Mizoram State E-Governance Society,https://msegs.mizoram.gov.in
Government of India e-Payment Gateway (GePG),https://gepg.nic.in
"Paschim Banga Resham Shilpi Samabaya Mahasangha Ltd., West Bengal",https://www.reshamshilpi.in
Telecom Disputes Settlement and Appellate Tribunal (TDSAT),https://tdsat.gov.in
DIKSHA - National Digital Infrastructure for Teachers,https://diksha.gov.in
COVID-19 Testing Laboratories across India,https://covid.icmr.org.in/index.php/testing-facilities
"Directorate General-Fire Services, Civil Defense & Home Guards",https://dgfscdhg.gov.in
"MeghRaj Cloud Initiative, National Cloud by NIC, New Delhi",https://cloud.gov.in
Gateway to Exam Results in India,https://results.gov.in
Directorate of Maize Research (DMR),https://iimr.icar.gov.in
e-Aadhaar Portal by UIDAI,https://eaadhaar.uidai.gov.in
"EPFiGMS - Employees Provident Fund, Grievance Management System, New Delhi",https://epfigms.gov.in
"Online System for Medical Devices, Central Drugs Standard Control Organisation (CDSCO)",https://cdscomdonline.gov.in
Department of Information & Communication Technology,https://dict.mizoram.gov.in
Kannur District Police,https://kannur.keralapolice.gov.in
"Bharat Heavy Electricals Limited (BHEL), Power Sector Western Region, Nagpur",https://www.bhelpswr.co.in
"Kendriya Vidyalaya No.2 - Faridabad, Haryana",https://no2faridabad.kvs.ac.in
"Karnataka Veterinery,animal and Fisheries Science University",https://www.kvafsu.edu.in
"Real Estate Regulatory Authority, Govt. of Punjab",https://rera.punjab.gov.in
"Public Grievance Portal, Haryana",https://cmharyanacell.nic.in
"Inspectorate of Factories and Boilers,Institute of Safety, Occupational Health and Environment, Goa",https://ifbgoa.goa.gov.in
"eTenders, Public Works Department, Punjab",https://eproc.punjab.gov.in
"Directorate of Economics and Statistics, Department of Agriculture, Cooperation and Farmers Welfare",https://eands.dacnet.nic.in
"Economic Research Unit (ERU), New Delhi",https://eru.isical.ac.in
"Jawahar Navodaya Vidyalaya(JNV), Durgapur, Burdwan, West Bengal",https://navodaya.gov.in/nvs/nvs-school/Burdwan/en/home
"Tourism Department, Meghalaya",https://www.meghalayatourism.in
eProcurement Portal of Chennai Petroleum Corporation Limited (CPCL),https://cpcletenders.nic.in
Jan-Dhan Se Jan Suraksha Portal,https://jansuraksha.gov.in
"Krishi Vigyan Kendra (KVK), Lawngtlai, Mizoram",https://kvklawngtlai.mizoram.gov.in
"Kendriya Vidyalaya Kollam, Kerala",https://kollam.kvs.ac.in
"Mahatma Gandhi Postgraduate Institute of Dental Sciences (MGPGI), Government of Puducherry Institution",https://mgpgi.py.gov.in
"Krishi Vigyan Kendra (KVK), North Vanlaiphai, Mizoram",https://kvkserchhip.mizoram.gov.in
Indian Institute of Sugarcane Research (IISR),https://iisr.icar.gov.in
"Jalpaiguri Police, West Bengal",https://jalpaiguripolice.in
"Kendriya Vidyalaya, Andrews Ganj, New Delhi",https://andrewsganj.kvs.ac.in
Krishi Vigyan Kendra Knowledge Network,https://kvk.icar.gov.in
"Kendriya Vidyalaya, Baran, Rajasthan",https://baran.kvs.ac.in
"Gulbarga University, Karnataka",https://gug.ac.in
"Integrated Child Development Services Scheme, (ICDS), Maharashtra",https://icds.gov.in
"Institute of Engineering and Technology, Lucknow, Uttar Pradesh",https://www.ietlucknow.ac.in
International Symposium on the Indian Ocean - 30 Nov. - 4 Dec. 2015 at Goa,https://io50.incois.gov.in
"Department of Horticulture & Soil Conservation , Government of Manipur",https://www.horticulture.mn.gov.in
"Economics and Statistics Department, Mizoram",https://des.mizoram.gov.in
"District Industries Centre (DIC), Puducherry",https://dic.py.gov.in
"Kendriya Vidyalaya No.1, Bhopal, Madhya Pradesh",https://no1bhopal.kvs.ac.in
West Bengal Pollution Control Board (WBPCB),https://www.wbpcb.gov.in
Pradhan Mantri Awas Yojana-Urban : CLSS Awas Portal (CLAP),https://pmayuclap.gov.in
"Directorate of Industries, Trade and Commerce",https://ditc.goa.gov.in
"Sarva Shiksha Abhiyan (SSA), Goa",https://gssa.goa.gov.in
Haldia Development Authority,https://www.hda.gov.in
Manipur Pollution Control Board (MPCB),https://manipcb.nic.in
"Kenndriya Viyalaya Saharsa, Bihar",https://saharsa.kvs.ac.in
"Digital Police Portal by NCRB, MHA",https://digitalpolice.gov.in
"Kendriya Vidyalaya, Begumpet, Hyderabad",https://begumpetafs.kvs.ac.in
"Kendriya Vidyalaya Hebbal, Bangalore, Karnataka",https://hebbalbangalore.kvs.ac.in
"Kendriya Vidyalaya Hospet, Karnataka",https://hospet.kvs.ac.in
"Kendriya Vidyalaya, Puranattukara, Thrissur",https://tiruchur.kvs.ac.in
"Kendriya Vidyalaya Idukki, Kerala",https://painavu.kvs.ac.in
Joint Electricity Regulatory Commission for the States of Manipur and Mizoram (JERC),https://jerc.mizoram.gov.in
Kerala Police Academy,https://keralapolice.gov.in
"Kendriya Vidyalaya Air Force Station, Bawana, Delhi",https://bawanaafs.kvs.ac.in
Unified Portal for Employers & Employees by Employees Provident Fund Organisation (EPFO),https://unifiedportal.epfindia.gov.in
"Kendriya Vidyalaya No.1, Amritsar Cantonment, Amritsar, Punjab",https://no1amritsarcantt.kvs.ac.in
"Kendriya Vidyalaya No.1, Patiala Cantt. Chandigarh",https://no1patiala.kvs.ac.in
"Kendriya Vidyalaya No 1, Madurai, Tamil Nadu",https://no1madurai.kvs.ac.in
"Kendriya Vidyalaya Sector - 25, Rohini, Delhi",https://rohinisec25.kvs.ac.in
"Kendriya Vidyalaya Beawar, Rajasthan",https://beawar.kvs.ac.in
"Kendriya Vidyalaya No. 1 Dhanbad, Jharkhand",https://no1dhanbad.kvs.ac.in
"Kendriya Vidayalaya A.A.I, Rangpuri, New Delhi",https://rangpuriaai.kvs.ac.in
"Kendriya Vidyalaya, Adoor, Pathanamthitta, Kerala",https://adoor.kvs.ac.in
"Kendriya Vidyalaya, Akkulam, Thiruvananthapuram, Kerala",https://trivandrumafs.kvs.ac.in
"Kendriya Vidyalaya Berhampur, Odisha",https://berhampur.kvs.ac.in
"Central Drugs Laboratory, Kasauli",https://cdlkasauli.gov.in
"Kendriya Vidyalaya, Fudam, Diu",https://diu.kvs.ac.in
"Kendriya Vidyalaya Sangathan (KVS), Regional Office, Jaipur",https://rojaipur.kvs.gov.in
"Kendriya Vidyalaya Ernakulam, Kerala",https://ernakulam.kvs.ac.in
"Kendriya Vidyalaya Sonpur, Bihar",https://sonpur.kvs.ac.in
"Kendriya Vidyalaya, Thawe, Gopalganj, Bihar",https://gopalganj.kvs.ac.in
"Kendriya Vidyalaya Sangathan, Gurgaon Region",https://rogurgaon.kvs.gov.in
"Kendriya Vidayalaya Hassan, Karnataka",https://hassan.kvs.ac.in
"Kendriya Vidyalaya Sangathan, Regional Office, Mumbai, Maharashtra",https://romumbai.kvs.gov.in
"Kendriya Vidyalaya Sangathan, Regional Office, Patna",https://ropatna.kvs.gov.in
"Kendriya Vidyalaya Himmat Nagar, Gujarat",https://himmatnagar.kvs.ac.in
"Kendriya Vidyalaya, AFS Suryalanka",https://suryalankaafs.kvs.ac.in
National Career Service by Ministry of Labour & Employment,https://www.ncs.gov.in
Shram Suvidha - Unified Portal for Labour and Employment,https://shramsuvidha.gov.in
PENCIL - Platform for Effective National Child Labour Project (NCLP) Scheme,https://pencil.gov.in
Kerala State Co-operative Union,https://scu.kerala.gov.in
"Andhra Pradesh Social Welfare Residential Educational Institutions Society, Recruitment Processing System",https://welfarerecruitments.apcfss.in
"Kendriya Vidyalaya No1 Devlali - Nashik, Maharashtra",https://no1devlali.kvs.ac.in
Services Portal of Common Services Centers (CSC) Scheme,https://register.csc.gov.in
"Kendriya Vidyalaya No.1, Udaipur, Rajasthan",https://no1udaipur.kvs.ac.in
"Directorate of Social Welfare and Social Education, Tripura",https://socialwelfare.tripura.gov.in
Online Portal for Visa Application to India,https://www.indianvisaonline.gov.in
"Kendriya Vidyalaya Baramulla, Jammu and Kashmir",https://baramula.kvs.ac.in
"Department of Sainik Welfare, Telangana",
Bengaluru Customs Zone,https://bangalorecustoms.gov.in
National Legal Services Authority (NALSA),https://nalsa.gov.in
"NSDL Database Management Limited (NDML), National Securities and Depository Limited (NSDL)",https://www.ndml.in
"National eVidhan Application, Digital Legislatures",https://neva.gov.in
Mandya District,https://mandya.nic.in/en
"National Research Centre for Soybean, Indore",https://iisrindore.icar.gov.in
"Maharashtra State Electricity Distribution Company Limited, MahaVitaran",https://www.mahadiscom.in
"Banglar Shiksha, School Education Department, West Bengal",https://banglarshiksha.gov.in
"YSR Pension Kanuka , Andhra Pradesh",https://sspensions.ap.gov.in
"OASiS (Online Application for Scholarship in Studies), Backward Classes Welfare Department and Tribal Development Department, West Bengal.",https://oasis.gov.in
Puducherry Distilleries Limited (PDL),https://www.pdlindia.in
"Directorate of Micro, Small & Medium Enterprises, West Bengal",https://wbmsme.gov.in
Haryana Employment Exchange Web Portal,https://hrex.gov.in
"Aadhaar enabled Public Distribution System, Kerala",https://epos.kerala.gov.in
"Pondicherry Institute of Hotel Management and Catering Technology, Colas Nagar, Pondicherry",https://pihmct.py.gov.in
Punjab Urban Planning and Development Authority (PUDA),https://www.puda.gov.in
"Online Portal for Government Recruitments, Puducherry",https://recruitment.py.gov.in
Bina Mulya Samajik Suraksha Yojana,https://bmssy.wblabour.gov.in
Mizoram State Information Commission,https://mic.mizoram.gov.in
"Government e-Marketplace (GeM), DGS&D",https://gem.gov.in
"Kendriya Vidyalaya NTPC, Kayamkulam, Kerala",https://kayamkulamntpc.kvs.ac.in
"National Skill Trainers Institute (NSTI) for Women, Shimla, Himachal Pradesh (formerly Regional Vocational Training Institute (RVTI) for Women)",https://nstiwshimla.dgt.gov.in
"Central Tobacco Research Institute, Rajahmundry, Andhra Pradesh",https://ctri.icar.gov.in
Indian Government Tenders Information System,https://eprocure.gov.in
Tamil Nadu Housing Board,https://tnhb.tn.gov.in
"Police Accountability Commission (PAC), Tripura",https://pac.tripura.gov.in
"ICAR - Central Island Agricultural Research Institute (CIARI), Port Blair",https://ciari.icar.gov.in
Indian Navy - Careers and Opportunities,https://www.joinindiannavy.gov.in
"Kendriya Vidyalaya, Pattom, Thiruvananthapuram, Kerala",https://trivandrumpattom.kvs.ac.in
"Kendriya Vidyalaya, Pallipuram, Thiruvananthapuram, Kerala",https://crpfpallipuram.kvs.ac.in
College of Defence Management,https://cdm.ap.nic.in
"Kendriya Vidyalaya, Pragati Vihar, New Delhi",https://pragativihar.kvs.ac.in
"Kendriya Vidyalaya No.3 Amritsar, Punjab",https://no3amritsar.kvs.ac.in
"Kendriya Vidyalaya, Karna, Palwal, Haryana",https://palwal.kvs.ac.in
"Kendriya Vidyalaya, Panna, Madhya Pradesh",https://panna.kvs.ac.in
National Cadet Corps (NCC),https://indiancc.nic.in
Nagaland Pollution Control Board,https://npcb.nagaland.gov.in
Northern Railway Carriage and Wagon Workshop (NRC&W),https://nr.indianrailways.gov.in
"Kendriya Vidyalaya No.2, Kota, Rajasthan",https://no2kota.kvs.ac.in
"Kendriya Vidyalaya, AFS, Avadi, Tamil Nadu",https://avadiafs.kvs.ac.in
"Kendriya Vidyalaya AFS Jorhat, Assam",https://no1afsjorhat.kvs.ac.in
Lakshadweep Disaster Management Authority (LDMA),https://ldma.utl.gov.in
"Kendriya Vidyalaya, Bharatpur, Rajasthan",https://bharatpur.kvs.ac.in
"Government Receipt Accounting System (GRAS), Maharashtra",https://gras.mahakosh.gov.in
"Kendriya Vidyalaya Central Coal Field, Ranchi",https://cclranchi.kvs.ac.in
Maharashtra State Agricultural Marketing Board (MSAMB),https://www.msamb.com
"Kendriya Vidyalaya, Donimalai, Karnataka",https://ndmcdonimalai.kvs.ac.in
"Kendriya Vidyalaya Jalgaon, Maharashtra",https://nmujalgaon.kvs.ac.in
"Kendriya Vidyalaya, Jhajjar, Haryana",https://jhajjar.kvs.ac.in
"Kendriya Vidyalay Railway Colony, M G Colony, Bangalore",https://mgrly.kvs.ac.in
"Kendriya Vidyalaya Sheohar, Bihar",https://sheohar.kvs.ac.in
Central Government Industrial Tribunal,https://cgit.labour.gov.in
"Kendriya Vidyalaya,Vijayanarayanam,Tirunelveli,Tamil Nadu",https://vijayanarayanam.kvs.ac.in
"Mizoram Remote Sensing Application Centre, Planning Department, Mizorm",https://mirsac.mizoram.gov.in
"Mahatma Gandhi State Institute of Public Administration, Punjab (MGSIPAP)",https://mgsipa.punjab.gov.in
Mizoram Public Service Commission,https://mpsc.mizoram.gov.in
Metropolitan Transport Corporation (Chennai) Ltd,https://mtcbus.tn.gov.in
"National Institute of Technology, Durgapur",https://nitdgp.ac.in
"Sri Venkateswara University, Tirupati",https://www.svuniversity.edu.in
"Kendriya Vidyalaya No 2, Kalpakkam, Tamil Nadu",https://no2kalpakkam.kvs.ac.in
"Criminal Investigation Department, Maharashtra",https://mahacid.gov.in
"Kendriya Vidyalaya Muzaffarpur, Bihar",https://muzzaffarpur.kvs.ac.in
"Kendriya Vidyalaya, Konam, Nagercoil, Tamilnadu",https://nagarcoil.kvs.ac.in
"Kendriya Vidyalaya, New Bongaigaon, Assam",https://newbongaigaon.kvs.ac.in
"Kendriya Vidyalaya Sector-5, Dwarka, New delhi",https://dwarkasec5.kvs.ac.in
"Kendriya Vidyalaya, Nubra",https://nubra.kvs.ac.in
"Kendriya Vidyalaya Rewari, Haryana",https://rewari.kvs.ac.in
Goa Online Services,https://goaonline.gov.in
"Sainik School Kazhakootam, Kerala",https://www.sainikschooltvm.nic.in
"Dr. YSR Aarogyasri Health Care Trust, Government of Andhra Pradesh",https://www.ysraarogyasri.ap.gov.in
Indian Naval Academy,https://ina.gov.in
Indian Naval Ship Valsura,https://www.indiannavy.nic.in/insvalsura
"Jawahar Navodaya Vidyalaya, Arwal, Bihar",https://navodaya.gov.in/nvs/nvs-school/ARWAL/en/home
"Visvesvaraya Trade Promotion Centre , Karnataka",https://vtpc.karnataka.gov.in
"Pepsu Road Transport Corporation, Patiala, Punjab",https://www.pepsurtc.com
"Cantonment Board, Jabalpur, Madhya Pradesh",https://jabalpur.cantt.gov.in
"Central Seat Allocation Board (CSAB), Joint Entrance Examination (Main)",https://csab.nic.in
National Programme on Technology Enhanced Learning (NPTel),https://nptel.ac.in
Retired Officers Digital Records Archive - Veteran Officers and Family Pensioners of Indian Army,https://rodra.gov.in
"eProcurement System, Indian Ordnance Factories",https://ofbeproc.gov.in
Principal Controller of Defence Accounts (Officers),https://pcdaopune.gov.in
"Bureau of Naviks (BUVIK), Indian Coast Guard",https://buvik.gov.in
"Cantonment Board, Aurangabad, Maharashtra",https://www.cbaurangabad.in
"The Institute of Chartered Accountants of India, Examination Results",https://icai.nic.in/caresult
Central Bureau of Investigation (CBI),https://cbi.gov.in
Indian Council of Agricultural Research - Online Library Catalog,https://lib.icar.gov.in
"ICAR - National Research Center on Camel (NRCC), Bikaner, Rajasthan",https://nrccamel.icar.gov.in
"Kendriya Vidyalaya No.1, Itanagar, Arunachal Pradesh",https://no1itanagar.kvs.ac.in
Biometric Attendance System (BAS) - Delhi Central,https://attendance.gov.in
Common Services Centers Scheme (CSC),https://csc.gov.in
"Kendriya Vidyalaya Sangathan, Regional Office, Guwahati",https://roguwahati.kvs.gov.in
"Kendriya Vidyalaya Military Station, Hisar, Haryana",https://hissarcantt.kvs.ac.in
"Kendriya Vidyalaya Sangathan, Regional Office, Hyderabad",https://rohyderabad.kvs.gov.in
"Kendriya Vidyalaya, JNU Campus, New Delhi",https://newmehrauliroadjnu.kvs.ac.in
"Kendriya Vidyalaya No. 3 Patiala Cantonment, Punjab",https://no3patiala.kvs.ac.in
"UMANG (Unified Mobile Application for New-age Governance) - One App, Many Government Services",https://web.umang.gov.in
"Kendriya Vidyalaya Deeptinagar, NTPC Kahalgaon, Bihar",https://ntpckahalgaon.kvs.ac.in
"Kendriya Vidyalaya No.2 Bhuj (Army), Gujarat",https://no2bhujcantt.kvs.ac.in
"PARIVESH an environmental single window hub for Environment, Forest, Wildlife and CRZ clearances",https://parivesh.nic.in
"Joint Entrance Examination Council, Uttar Pradesh",https://jeecup.nic.in
"Kendriya Vidyalaya, Tiruparankundram, Madurai, Tamil Nadu",https://no2madurai.kvs.ac.in
"Mobile Seva - The National Mobile Governance Initiative, DeitY, Govt. of India",https://mobileseva.gov.in
"Kendriya Vidyalaya No.5, Gwalior, Madhya Pradesh",https://no5gwalior.kvs.ac.in
"Kendriya Vidyalaya No.1 Udhampur, Jammu and Kashmir",https://no1udhampur.kvs.ac.in
"Kendriya Vidyalaya No.1 Lamphelpat, Imphal, Manipur",https://no1imphal.kvs.ac.in
"Kendriya Vidyalaya No.1, A.F.S, Jamnagar, Gujarat",https://no1jamnagar.kvs.ac.in
"Kendriya Vidyalaya EAC, Upper Shillong, Meghalaya",https://eacuppershillong.kvs.ac.in
"Kendriya Vidyalaya Air Force Station, Sulur",https://sulur.kvs.ac.in
"eProcurement Portal, Government of Tripura",https://tripuratenders.gov.in
"Kendriya Vidyalaya Dhanpuri, Madhya Pradesh",https://secldhanpuri.kvs.ac.in
"Kendriya Vidyalaya Patratu, Ramgarh, Jharkhand",https://ramgarhcantt.kvs.ac.in
"Kendriya Vidyalaya 3BRD, AFS, Chandigarh",https://chandigarh3brd.kvs.ac.in
"Directorate of Medical Education, Govt. of Tripura",https://dme.tripura.gov.in
"Kendriya Vidyalaya, No.2 Ambala, Haryana",https://no2ambalacantt.kvs.ac.in
"Kendriya Vidyalaya, Hiranagar, Jammu and Kashmir",https://hiranagar.kvs.ac.in
"Kendriya Vidyalaya, Aruvankadu, The Nilgiris, Tamil Nadu",https://aruvankadu.kvs.ac.in
"Kendriya Vidyalaya No.2 IOC, Barauni, Bihar",https://no2iocbarauni.kvs.ac.in
"Kendriya Vidyalaya , NAL campus, Bangalore",https://nal.kvs.ac.in
"Kendriya Vidyalaya ,Ooty, Tamil Nadu",https://hpfootacamund.kvs.ac.in
"Mukhyamantri Kanya Sumangla Yojana, Government of Uttar Pradesh",https://mksy.up.gov.in
"Kendriya Vidyalaya INS Valsura, Jamnagar, Gujarat",https://insvalsura.kvs.ac.in
"Kendriya Vidyalaya No 1, Kalpakkam, Tamil Nadu",https://no1kalpakkam.kvs.ac.in
"Kendriya Vidyalaya Sangathan, Regional Office, Lucknow",https://rolucknow.kvs.gov.in
"Kendriya Vidyalaya AFS Amla, Madhya Pradesh",https://afsamla.kvs.ac.in
"Kendriya Vidyalaya No.2, Bijasan Tekari, Indore, Madhya Pradesh",https://no2indore.kvs.ac.in
"Kendriya Vidyalaya, Meghahatuburu, West Singhbhum, Jharkhand",https://meghahatuburu.kvs.ac.in
"Regional Cancer Centre, Thiruvananthapuram",https://www.rcctvm.gov.in
"Kendriya Vidyalaya No-3 Morarcantt, Gwalior, Madhya Pradesh",https://no3gwalior.kvs.ac.in
"Kendriya Vidyalaya No 2 C.P.E. Itarsi, Madhya Pradesh",https://no2itarasi.kvs.ac.in
"Kendriya Vidyalaya No.4 Maharajpur, Gwalior, Madhya Pradesh",https://no4gwaliorafs.kvs.ac.in
"Kendriya Vidyalaya BHU, BHU Campus, Varanasi",https://bhuvaranasi.kvs.ac.in
"Kendriya Vidyalaya No.2, Bailey Road, Patna",https://no2patna.kvs.ac.in
"Kendriya Vidyalaya No.5 Bathinda Cantt, Punjab",https://no5bhatinda.kvs.ac.in
"Directorate of Oil Palm Research, West Godavari, Andhra Pradesh",https://iiopr.icar.gov.in
"Kendriya Vidyalaya Rohtak, Haryana",https://rohtak.kvs.ac.in
"National Bureau of Animal Genetic Resources (NBAGR), Karnal, Haryana",https://nbagr.icar.gov.in
